Component,Explained Variance Ratio,Cumulative Variance
1,0.004056128661927321,0.004056128661927321
2,0.0037520139127752276,0.007808142574702548
3,0.0029493606069002742,0.010757503181602823
4,0.0024581073390695773,0.0132156105206724
5,0.0021074780697221437,0.015323088590394544
6,0.0019984382344523798,0.017321526824846924
7,0.0019036774893170453,0.01922520431416397
8,0.001868689800485972,0.02109389411464994
9,0.001826218896426504,0.022920113011076444
10,0.0017862389496165175,0.02470635196069296
11,0.0017739928402454755,0.026480344800938437
12,0.0017507715814787765,0.028231116382417213
13,0.0017357897742564926,0.029966906156673707
14,0.001730580066693936,0.03169748622336764
15,0.0017191484866502572,0.0334166347100179
16,0.001712518530956732,0.03512915324097463
17,0.0017037571880509084,0.03683291042902554
18,0.0016934596101463193,0.03852637003917186
19,0.0016890870656290477,0.04021545710480091
20,0.0016852804103731612,0.04190073751517407
21,0.0016740283155924401,0.04357476583076651
22,0.0016637379560677013,0.045238503786834215
23,0.0016554316825536336,0.046893935469387846
24,0.0016484079027658705,0.04854234337215372
25,0.0016441845688229715,0.050186527940976694
26,0.0016363779375541002,0.05182290587853079
27,0.0016349099920784968,0.05345781587060929
28,0.001631012721870342,0.055088828592479634
29,0.0016251879633551046,0.05671401655583474
30,0.0016178894472291586,0.0583319060030639
31,0.0016142640708003508,0.05994617007386425
32,0.0016069175448648883,0.06155308761872914
33,0.001599880417015768,0.06315296803574491
34,0.0015967666720753402,0.06474973470782025
35,0.0015898037971584214,0.06633953850497867
36,0.0015791286663518248,0.0679186671713305
37,0.0015761981355439363,0.06949486530687443
38,0.001571601387654038,0.07106646669452847
39,0.0015634536231319415,0.07262992031766041
40,0.0015606207700063098,0.07419054108766672
41,0.0015550765313798315,0.07574561761904655
42,0.001550188189539366,0.07729580580858592
43,0.001547935084927109,0.07884374089351302
44,0.0015421966755826701,0.08038593756909569
45,0.0015382795907722168,0.0819242171598679
46,0.0015349089058835285,0.08345912606575143
47,0.001522025204947512,0.08498115127069894
48,0.0015212159427077853,0.08650236721340672
49,0.0015187018530904482,0.08802106906649716
50,0.0015125432027104462,0.08953361226920761
51,0.001508073639313923,0.09104168590852153
52,0.001506835385725169,0.0925485212942467
53,0.0015000509629829485,0.09404857225722965
54,0.0014967408941900149,0.09554531315141966
55,0.0014933583399897928,0.09703867149140945
56,0.0014900126187296012,0.09852868411013904
57,0.0014865853530849039,0.10001526946322395
58,0.001485539157649974,0.10150080862087392
59,0.0014813112163721673,0.10298211983724609
60,0.001474485958131065,0.10445660579537715
61,0.0014732145265439166,0.10592982032192107
62,0.0014728141032081666,0.10740263442512923
63,0.0014687834571520033,0.10887141788228123
64,0.0014628078337515008,0.11033422571603273
65,0.001454636796772717,0.11178886251280544
66,0.0014495431341738948,0.11323840564697933
67,0.0014423015207298488,0.11468070716770919
68,0.0014411445195781324,0.11612185168728732
69,0.0014405032674386275,0.11756235495472594
70,0.0014322186676522938,0.11899457362237824
71,0.0014292678000386284,0.12042384142241687
72,0.0014278052077084063,0.12185164663012528
73,0.0014255009547801004,0.12327714758490538
74,0.0014232166821350378,0.12470036426704041
75,0.0014210418299132903,0.12612140609695371
76,0.0014173778893427165,0.12753878398629642
77,0.0014156639766871987,0.1289544479629836
78,0.0014101722510911174,0.13036462021407472
79,0.0014088530441085934,0.1317734732581833
80,0.0014021191060425249,0.13317559236422583
81,0.001399488392070692,0.1345750807562965
82,0.001398458790932181,0.13597353954722868
83,0.0013913776068176442,0.13736491715404633
84,0.0013876870374548067,0.13875260419150115
85,0.001385573664720383,0.14013817785622154
86,0.001383460808827089,0.14152163866504863
87,0.0013811551079946378,0.14290279377304327
88,0.0013755829608838787,0.14427837673392716
89,0.001371788522031253,0.14565016525595842
90,0.001369874795870193,0.14702004005182862
91,0.0013643647719112464,0.14838440482373985
92,0.0013631512982143741,0.14974755612195423
93,0.0013608563403613627,0.1511084124623156
94,0.0013583624141612035,0.1524667748764768
95,0.0013567506355531295,0.15382352551202993
96,0.0013555583243258743,0.1551790838363558
97,0.0013515923259001692,0.156530676162256
98,0.0013466076066378557,0.15787728376889384
99,0.001343818207159578,0.15922110197605344
100,0.0013412482304173787,0.1605623502064708
101,0.0013397408549281798,0.161902091061399
102,0.0013376569354552254,0.16323974799685423
103,0.001336764921139885,0.1645765129179941
104,0.0013321167076369592,0.16590862962563108
105,0.0013307750251807917,0.16723940465081186
106,0.0013256098060791257,0.16856501445689098
107,0.0013246428169785465,0.16988965727386954
108,0.001323872668760743,0.17121352994263028
109,0.0013194200526608928,0.17253294999529117
110,0.0013190959224782656,0.17385204591776943
111,0.0013169193419323795,0.1751689652597018
112,0.0013163808818914596,0.17648534614159325
113,0.0013139450548218378,0.17779929119641508
114,0.001310166181698749,0.17910945737811382
115,0.0013082621289421622,0.18041771950705598
116,0.001306827558430772,0.18172454706548677
117,0.001305537755179718,0.1830300848206665
118,0.0013046678367614074,0.1843347526574279
119,0.00130260242627451,0.1856373550837024
120,0.0013016604510729319,0.18693901553477535
121,0.001299763478840457,0.1882387790136158
122,0.0012985464659836744,0.18953732547959948
123,0.0012972852194895331,0.19083461069908902
124,0.0012953334258931448,0.19212994412498216
125,0.0012946869575226193,0.19342463108250477
126,0.0012921566375644275,0.1947167877200692
127,0.0012903324224105368,0.19600712014247973
128,0.0012886575738648724,0.1972957777163446
129,0.0012880871394147183,0.19858386485575932
130,0.001285558594995171,0.1998694234507545
131,0.0012838063197663937,0.2011532297705209
132,0.001283293540298287,0.2024365233108192
133,0.0012820125684797495,0.20371853587929897
134,0.0012798607448347655,0.20499839662413374
135,0.0012788364522579535,0.2062772330763917
136,0.0012741332079781226,0.20755136628436982
137,0.0012716126053506597,0.20882297888972048
138,0.001270864880236879,0.21009384376995735
139,0.0012681009259737338,0.2113619446959311
140,0.0012661263775845255,0.2126280710735156
141,0.0012649958107217541,0.21389306688423737
142,0.0012640698086336473,0.215157136692871
143,0.0012605870377742406,0.21641772373064525
144,0.0012557135134071253,0.21767343724405236
145,0.0012540282226119678,0.21892746546666433
146,0.0012530117984558854,0.22018047726512022
147,0.0012484471750031864,0.2214289244401234
148,0.00124592951439158,0.222674853954515
149,0.0012439228135668258,0.22391877676808183
150,0.0012415729132274431,0.22516034968130927
151,0.0012398195810790946,0.22640016926238837
152,0.001236759456255892,0.22763692871864427
153,0.0012356691116765077,0.22887259783032077
154,0.0012320685089225272,0.23010466633924329
155,0.001231616388979358,0.23133628272822265
156,0.0012281695811817007,0.23256445230940434
157,0.0012248835092548405,0.23378933581865918
158,0.001221878100954065,0.23501121391961324
159,0.0012205186187012865,0.23623173253831453
160,0.0012179877161571453,0.23744972025447167
161,0.0012147010856518679,0.23866442134012353
162,0.001213560535949676,0.2398779818760732
163,0.0012112012699384373,0.24108918314601163
164,0.001208334111436495,0.24229751725744814
165,0.001206372233171417,0.24350388949061955
166,0.001204821807864409,0.24470871129848396
167,0.0012025629259640417,0.245911274224448
168,0.001199591774206419,0.24711086599865442
169,0.0011982721628276136,0.24830913816148203
170,0.001195019132585647,0.2495041572940677
171,0.001191717964928808,0.2506958752589965
172,0.0011886662958187815,0.25188454155481527
173,0.0011858669737798743,0.25307040852859514
174,0.0011844979693874538,0.2542549064979826
175,0.0011827186342754925,0.2554376251322581
176,0.0011803005524535508,0.25661792568471165
177,0.0011768938944600577,0.2577948195791717
178,0.0011762089489184922,0.25897102852809023
179,0.0011721828084195838,0.2601432113365098
180,0.0011695193627299907,0.26131273069923977
181,0.0011647670884316601,0.26247749778767143
182,0.0011611512895394035,0.26363864907721085
183,0.001161075301107659,0.2647997243783185
184,0.0011592908488508847,0.26595901522716936
185,0.001157945477329275,0.26711696070449864
186,0.001156248654391345,0.26827320935889
187,0.0011550748619414707,0.2694282842208315
188,0.0011509700400802823,0.2705792542609118
189,0.0011484426879880792,0.27172769694889987
190,0.0011465435786103943,0.27287424052751025
191,0.0011439021068286401,0.2740181426343389
192,0.0011418229953220021,0.2751599656296609
193,0.0011393499563524102,0.2762993155860133
194,0.001136830025987545,0.2774361456120008
195,0.001135582581062541,0.27857172819306336
196,0.0011326084252105489,0.27970433661827393
197,0.001131484191566074,0.28083582080984
198,0.0011306790455453066,0.2819664998553853
199,0.0011272966219669773,0.2830937964773523
200,0.0011254277595936254,0.2842192242369459
201,0.0011219266442052717,0.2853411508811512
202,0.0011201852620745087,0.2864613361432257
203,0.0011181608708143843,0.2875794970140401
204,0.001115165823114711,0.28869466283715484
205,0.0011143663634013078,0.2898090292005561
206,0.0011140212326212846,0.2909230504331774
207,0.0011111005345984175,0.2920341509677758
208,0.0011082900035264368,0.2931424409713022
209,0.0011057128498738293,0.29424815382117603
210,0.001105018485727256,0.2953531723069033
211,0.0011011217483517213,0.296454294055255
212,0.001099576919818974,0.29755387097507396
213,0.0010967670048890835,0.29865063797996305
214,0.001095754035531587,0.29974639201549463
215,0.0010941176048781768,0.3008405096203728
216,0.0010902652016155589,0.3019307748219883
217,0.0010882815450475275,0.30301905636703586
218,0.0010863771455176447,0.3041054335125535
219,0.0010852771159924023,0.30519071062854586
220,0.0010825311532308565,0.30627324178177673
221,0.0010823360944914226,0.30735557787626816
222,0.001079222437060606,0.30843480031332876
223,0.0010761756054345462,0.3095109759187633
224,0.0010755879941224177,0.31058656391288575
225,0.0010718468403196149,0.3116584107532054
226,0.0010701554755641214,0.3127285662287695
227,0.001069007015580426,0.3137975732443499
228,0.0010671446552044195,0.31486471789955434
229,0.001065823638560962,0.3159305415381153
230,0.0010639625163161525,0.3169945040544314
231,0.001063346931272983,0.3180578509857044
232,0.0010611604000717058,0.3191190113857761
233,0.0010601310653446355,0.3201791424511207
234,0.001058073895823175,0.3212372163469439
235,0.0010565571805289133,0.32229377352747285
236,0.0010545248705036612,0.3233482983979765
237,0.0010539586438527266,0.32440225704182923
238,0.0010510811545698215,0.32545333819639904
239,0.0010463845770520323,0.3264997227734511
240,0.0010439615745752194,0.3275436843480263
241,0.0010422813968800036,0.3285859657449063
242,0.0010418239714422809,0.32962778971634854
243,0.0010409263634194132,0.33066871607976794
244,0.0010380897925854895,0.33170680587235346
245,0.0010371391205394054,0.3327439449928929
246,0.001034766256792475,0.3337787112496854
247,0.0010343199706317483,0.33481303122031714
248,0.0010327231761093692,0.3358457543964265
249,0.0010311126879077818,0.3368768670843343
250,0.0010307830301450021,0.33790765011447926
251,0.001028061206808163,0.3389357113212874
252,0.00102705822842414,0.33996276954971155
253,0.0010260024823839657,0.34098877203209554
254,0.0010236438714983946,0.34201241590359394
255,0.0010234943520621633,0.3430359102556561
256,0.0010205222163161686,0.34405643247197226
257,0.0010195968734043816,0.3450760293453766
258,0.0010186426811794366,0.3460946720265561
259,0.0010164193768765254,0.3471110914034326
260,0.0010162415568022202,0.34812733296023485
261,0.0010147521290355377,0.34914208508927036
262,0.001014556656657199,0.35015664174592753
263,0.001011228396731198,0.3511678701426587
264,0.001010622908200326,0.352178493050859
265,0.0010083413131428496,0.3531868343640019
266,0.0010071446573720819,0.35419397902137395
267,0.0010052417549375901,0.35519922077631155
268,0.0010047595220328382,0.3562039802983444
269,0.0010027893950895368,0.3572067696934339
270,0.0010013728184196896,0.35820814251185357
271,0.0010000872159836287,0.35920822972783717
272,0.0009989796128917318,0.3602072093407289
273,0.0009976616253512623,0.36120487096608017
274,0.0009970984148526404,0.3622019693809328
275,0.0009961279167428135,0.3631980972976756
276,0.0009948477897144396,0.36419294508739003
277,0.0009946781076868327,0.36518762319507686
278,0.0009934964696726944,0.36618111966474953
279,0.0009919945276581068,0.3671731141924076
280,0.0009894393148856965,0.3681625535072933
281,0.0009890137716540794,0.3691515672789474
282,0.0009878776372038863,0.37013944491615125
283,0.000986243103065837,0.3711256880192171
284,0.000985082471938212,0.3721107704911553
285,0.0009845776114908841,0.3730953481026462
286,0.000983803561682758,0.374079151664329
287,0.0009832798976528668,0.3750624315619818
288,0.00098205501000729,0.37604448657198913
289,0.0009813853940621403,0.37702587196605125
290,0.0009806621973799722,0.3780065341634312
291,0.0009799480398936192,0.3789864822033248
292,0.0009795713008965304,0.37996605350422136
293,0.000978354369318039,0.3809444078735394
294,0.0009771532854437382,0.3819215611589831
295,0.0009763934461304974,0.3828979546051136
296,0.0009744328494126758,0.3838723874545263
297,0.0009739901132129157,0.3848463775677392
298,0.0009727713392043198,0.3858191489069435
299,0.0009724168206727973,0.3867915657276163
300,0.0009720418157436757,0.38776360754336
301,0.0009715364561426677,0.38873514399950265
302,0.000970359927912164,0.3897055039274148
303,0.0009697670029425958,0.3906752709303574
304,0.0009695774287760979,0.39164484835913355
305,0.0009682241950041177,0.3926130725541377
306,0.0009678509460493087,0.393580923500187
307,0.0009677683087350036,0.394548691808922
308,0.0009668618199125813,0.39551555362883456
309,0.0009659780222993938,0.396481531651134
310,0.0009654821375769531,0.39744701378871095
311,0.0009653394323303749,0.3984123532210413
312,0.0009650615299597187,0.399377414751001
313,0.0009636933559015788,0.4003411081069026
314,0.0009636553796663134,0.4013047634865689
315,0.0009633433744194696,0.40226810686098835
316,0.0009626729899690995,0.40323077985095745
317,0.0009624002513505682,0.40419318010230804
318,0.0009617365230473048,0.40515491662535535
319,0.0009615897247007935,0.40611650635005614
320,0.0009610810139153185,0.4070775873639715
321,0.0009600805546855598,0.40803766791865703
322,0.0009598126739070628,0.4089974805925641
323,0.0009592000972473049,0.4099566806898114
324,0.0009591633890416723,0.41091584407885307
325,0.0009588688782882716,0.41187471295714134
326,0.0009584119903676114,0.41283312494750896
327,0.0009578529508670721,0.41379097789837604
328,0.0009575841973875669,0.4147485620957636
329,0.0009570590768144528,0.41570562117257803
330,0.0009569620823296047,0.4166625832549076
331,0.000956441996096321,0.417619025251004
332,0.0009562602999439079,0.41857528555094786
333,0.000955670419624195,0.41953095597057205
334,0.0009554835685714681,0.4204864395391435
335,0.0009551214669953419,0.42144156100613883
336,0.0009548611177716518,0.4223964221239105
337,0.0009545268737335854,0.4233509489976441
338,0.0009542636736280566,0.42430521267127214
339,0.0009541185765615037,0.42525933124783366
340,0.0009538337793708649,0.4262131650272045
341,0.0009536636633786041,0.42716682869058314
342,0.0009534014308786884,0.42812023012146183
343,0.0009531298151322273,0.42907335993659407
344,0.0009524408426222262,0.4300258007792163
345,0.0009521545228601406,0.43097795530207644
346,0.0009513203413620424,0.43192927564343847
347,0.0009503923515376491,0.4328796679949761
348,0.0009498903700388222,0.43382955836501497
349,0.0009492667087526435,0.4347788250737676
350,0.0009486200396907346,0.43572744511345834
351,0.0009472218800654204,0.43667466699352375
352,0.0009453954452552589,0.437620062438779
353,0.0009433532137033455,0.43856341565248236
354,0.0009427144594193039,0.43950613011190165
355,0.0009406581035243237,0.440446788215426
356,0.0009397899117018348,0.44138657812712784
357,0.0009379187659702347,0.44232449689309805
358,0.000937471782431569,0.44326196867552964
359,0.0009364775256204662,0.4441984462011501
360,0.000935700960753624,0.44513414716190375
361,0.0009349673021853298,0.4460691144640891
362,0.0009322203311133292,0.44700133479520243
363,0.0009316035544537726,0.4479329383496562
364,0.0009305946822764782,0.44886353303193266
365,0.0009293554599675174,0.4497928884919002
366,0.0009283669128032014,0.45072125540470337
367,0.0009262961830640887,0.4516475515877675
368,0.000925005294439208,0.4525725568822067
369,0.0009228933352860242,0.4534954502174927
370,0.000922312467719406,0.4544177626852121
371,0.000920853438048603,0.4553386161232607
372,0.0009205214666144216,0.45625913758987513
373,0.0009191670473198848,0.457178304637195
374,0.0009180589221150802,0.4580963635593101
375,0.0009169937955211898,0.4590133573548313
376,0.0009161093973827676,0.4599294667522141
377,0.0009152829506763716,0.46084474970289047
378,0.000913536354828592,0.46175828605771907
379,0.0009119721110408318,0.4626702581687599
380,0.0009117502071555033,0.4635820083759154
381,0.0009095182038563411,0.4644915265797717
382,0.0009086029452671306,0.46540012952503884
383,0.0009075026983499092,0.4663076322233887
384,0.0009064973902284247,0.46721412961361714
385,0.000905258400473979,0.4681193880140911
386,0.000901538651914819,0.4690209266660059
387,0.0009009289024993413,0.46992185556850524
388,0.0008990338520876953,0.4708208894205929
389,0.0008987520385980859,0.471719641459191
390,0.0008978198385953098,0.4726174612977863
391,0.000896967848480693,0.473514429146267
392,0.0008947987041092145,0.4744092278503762
393,0.0008937214935237227,0.47530294934389994
394,0.0008923565248507624,0.4761953058687507
395,0.0008914107014292121,0.4770867165701799
396,0.0008895324603399543,0.4779762490305199
397,0.0008884792367420928,0.47886472826726195
398,0.000887194010332308,0.4797519222775943
399,0.0008850556847448184,0.4806369779623391
400,0.0008833621291260045,0.4815203400914651
401,0.0008820404647980943,0.4824023805562632
402,0.0008812284994958325,0.48328360905575907
403,0.0008785000466976543,0.4841621091024567
404,0.0008768817239775855,0.4850389908264343
405,0.0008750827158152198,0.4859140735422495
406,0.0008740330919142454,0.4867881066341638
407,0.000872391038476577,0.48766049767264036
408,0.0008712386031138989,0.48853173627575425
409,0.0008701678360092918,0.48940190411176354
410,0.0008693966454785075,0.49027130075724207
411,0.0008681985783589005,0.49113949933560097
412,0.0008671241235876273,0.4920066234591886
413,0.0008658765552513982,0.49287250001444
414,0.0008644758333832673,0.4937369758478233
415,0.0008636874920478363,0.4946006633398711
416,0.0008617125857190948,0.4954623759255902
417,0.0008611711196865199,0.49632354704527676
418,0.0008589429209055579,0.4971824899661823
419,0.0008576322904367068,0.49804012225661903
420,0.0008566849952787165,0.4988968072518977
421,0.000855263769822918,0.49975207102172065
422,0.0008548142270988348,0.5006068852488195
423,0.0008535272084789285,0.5014604124572984
424,0.0008514511820693794,0.5023118636393679
425,0.000850107602290519,0.5031619712416584
426,0.0008482007686558551,0.5040101720103143
